id	ko
Sonic & Shahra's lines must end in '_so' & '_sh' respectively.	Retail English Translation.
secret_rings_title	소닉과 비밀의 링
any_button	아무 버튼이나 누르세요
system	
load_level	미션 불러오는 중
load_probes	라이트 프로브 불러오는 중
sys_select	선택
sys_cancel	취소
sys_yes	예
sys_no	아니요
sys_delete	삭제
sys_clear	지우기
sys_delete_description	이 저장 데이터를 삭제하시겠습니까?
sys_control_mode_description	조작 스타일을 선택해 주세요.
sys_control_mode_reconfig	스킬 선택 메뉴에서 언제든 변경할 수 있습니다.
sys_retail_control	원작
sys_reignited_control	리이그니션
sys_traditional_control	자유 조작
sys_retail_description	Wii 원작의 자동 주행과 차지 점프를 재현합니다.\n원작의 조작을 선호하는 분께 권장합니다.
sys_reignited_description	레일형 조작을 현대적인 컨트롤러에 맞게 개선합니다.\n대부분의 플레이어에게 권장합니다.
sys_traditional_description	레일형 조작을 완전히 없앱니다.\n스테이지 설계와 어울리지 않을 수 있습니다.\n원하는 조작이 확실한 분께 권장합니다.
sys_retry	재도전
sys_next	다음
sys_back	뒤로
sys_return	돌아가기
sys_skip	건너뛰기
sys_quit	종료
sys_quit_description	게임을 종료하시겠습니까?
sys_presets	프리셋
sys_save	저장
sys_overwrite	덮어쓰기
sys_load	불러오기
sys_rename	이름 변경
sys_skill	스킬 편집
sys_skill_total	스킬 합계
sys_skill_cost	스킬 비용
sys_sort	정렬
sys_sort_default	기본 순서
sys_sort_name	이름
sys_sort_cost	비용
sys_sort_wind	바람
sys_sort_fire	불꽃
sys_sort_dark	어둠
sys_reset	초기화
sys_reset_description	이 프리셋을 초기화하시겠습니까?
sys_new_preset	새 프리셋
sys_delete_preset_description	이 프리셋을 삭제하시겠습니까?
sys_bgm	BGM 변경
sys_pause	일시정지
pause_continue	계속하기
pause_restart	다시 시작
pause_status	상태
pause_quit	나가기
pause_mission	미션
pause_skill	스킬
pause_status_description	현재 소닉의 상태를 확인합니다.
pause_mission_description	현재 플레이 중인 미션의\n정보를 확인합니다.
pause_skill_description	현재 장착한 스킬의\n정보를 확인합니다.
pause_lv	레벨
pause_high_score	최고 점수
pause_score	점수
pause_best_time	최고 기록
pause_time	시간
pause_stage_exp	스테이지 경험치
pause_total_exp	총 경험치
pause_gauge	소울 게이지
pause_fire_soul	파이어 소울
pause_medal	메달
pause_no_skill	현재 장착한 스킬이 없습니다.
status_header	상태
status_level	레벨
status_ring	링 개수
status_fire_soul	파이어 소울 개수
status_skill_points	스킬 포인트
status_soul_gauge	최대 소울 게이지
status_total_exp	총 경험치
status_next_exp	다음 레벨까지
status_next_story	다음 스토리 미션
sys_world_locked	아직 이 월드를 선택할 수 없습니다.
sys_mode_adventure	사라져 가는 아라비안 나이트의\n세계를 모험합니다.
sys_mode_party	1~4명이 함께 즐길 수 있는 미니게임이\n가득한 파티 모드입니다.
sys_mode_book	지금까지 획득한 페이지를\n볼 수 있습니다.
sys_mode_option	게임 설정을 변경할 수 있습니다.
sys_mode_timeattack	최고 기록에 도전하세요!
sys_mode_timeattack_locked	게임을 한 번 클리어하면 잠금이 해제됩니다.
sys_save_select	플레이할 저장 데이터를\n선택해 주세요.
sys_new	NEW
sys_map	월드
sys_mission	미션
sys_music_selector	음악 선택
sys_customtracks	사용자 음악
sys_maintracks	기본 음악
sys_refresh	새로고침
ta_title	타임 어택
ta_newrun	새 도전
ta_mode_title	도전 유형 선택
ta_mode_standard	스탠더드
ta_mode_mainmissions	미니멀리스트
ta_mode_bossrush	보스 러시
ta_mode_leaderboard	순위표
ta_mode_singlerun	단일 도전
ta_start	시작!
ta_levellist	스테이지 목록
ta_newrun_desc	새 타임 어택을 시작합니다!
ta_mode_singlerun_desc	개별 스테이지에 도전합니다.
ta_mode_desc_anypercent	새 게임을 처음부터 진행합니다!\n알프 라일라 와 라일라를 쓰러뜨리면 기록이 종료됩니다.
